Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
457995,-3.385965,13.673077,0.375687,20.440001,-80.570000,-53.410000
458071,-2.720737,10.382828,1.215597,55.790001,-62.299999,-65.29999
458145,-2.163189,7.202653,0.693943,-19.180000,-40.180000,-49.560001
458220,-2.273263,6.209597,0.859054,14.770000,-34.650002,-17.80000
458296,-1.986114,6.755179,1.756395,-8.610000,-18.129999,9.730000
458370,-2.426409,7.193082,0.167504,-4.970000,-12.740000,14.280000
458445,-2.512553,9.346699,0.928448,29.330000,1.540000,11.900000
458519,-3.218461,9.772636,0.301506,13.90000,5.460000,6.300000
458594,-3.338107,9.803744,0.167504,10.570000,10.80000,0.140000
458669,-3.101209,8.746079,0.313471,3.710000,10.220000,-6.90000
458744,-3.405108,7.61472,-1.385494,-7.210000,14.210000,-7.0
458819,-1.682214,7.889418,0.165111,-8.470000,20.160000,8.400000
458893,0.270399,-3.596541,-3.94030,-8.50000,-67.970001,98.70000
458968,2.550840,5.72965,-1.172525,-19.950001,-25.200001,146.440002
459043,5.1178,18.54491,4.766673,-22.49999,-41.439999,167.649994
459118,1.354386,18.734077,3.165817,-15.50000,-34.580002,82.879997
459192,1.529068,14.453165,3.165817,-9.380000,-14.420000,14.980000
459267,2.546054,12.725485,2.869097,-2.30000,-3.850000,-24.500000
459342,1.442924,11.435708,2.826025,-17.150000,-4.900000,-81.620003
459417,0.485760,12.553196,2.445552,-9.730000,20.299999,-103.40001
459492,-1.294563,12.584304,2.514946,-16.730000,29.680000,-92.470001
459566,-1.916719,12.632162,2.395301,-7.490000,40.180000,-107.449997
459641,-3.747294,11.706106,1.497960,33.880001,49.490002,-81.690002
459716,0.729837,8.274676,2.629806,26.250000,46.619999,-94.220001
459791,-1.232348,3.132317,-1.201240,31.500000,21.490000,-79.449997
459866,-2.720737,1.150989,0.933234,20.230000,2.940000,-36.189999
459940,-3.766437,4.82301,0.993057,21.70000,-3.780000,7.70000
460015,-3.326142,5.594619,0.595834,18.410000,-14.0,31.639999
460090,-3.570219,6.410601,0.272792,-12.740000,-14.770000,47.950001
460165,0.856661,5.783659,0.801624,-27.510000,-10.640000,48.860001
460240,3.823867,-5.446259,-3.646792,-33.880001,-20.580000,90.860001
460314,7.552018,16.685749,1.947827,-21.350000,-55.510002,229.740005
460389,0.686765,23.204029,6.147381,-37.869999,-68.110001,152.180008
460464,0.471403,18.509144,4.111016,-18.969999,-23.100000,34.439999
460539,1.679821,12.787701,2.744666,6.650000,1.50000,-9.520000
460613,2.163189,11.76772,2.385729,7.980000,6.90000,-31.150000
460688,1.818610,12.57864,1.902362,1.190000,24.360001,-51.939999
460763,0.808803,11.588854,1.780324,5.320000,29.680000,-65.660004
460838,0.299114,12.670448,2.692022,4.970000,30.240000,-78.820000
460913,0.43072,11.473994,2.380944,6.440000,42.349998,-99.820000
460987,-1.129453,9.746315,1.239526,-2.940000,41.650002,-106.540001
461062,-2.72258,7.195475,0.241684,2.660000,39.60001,-96.949997
461136,-3.53351,5.144753,0.679586,9.870000,26.320000,-65.730003
461212,-3.706615,4.931784,0.667621,10.290000,9.870000,-35.279999
461287,-4.402951,4.393379,0.129217,13.720000,0.420000,-12.250000
461361,-4.211518,5.979877,0.978699,8.890000,-1.750000,8.820000
461436,-3.969835,4.65551,0.299114,7.70000,-12.460000,23.30001
461510,0.748980,2.481446,0.698729,-4.480000,-15.890000,45.920002
461586,6.621177,-12.675234,-1.170132,53.480000,-67.970001,216.89996
461661,5.362507,18.810650,2.584341,-8.330000,-60.410000,221.339996
461735,1.514711,24.53513,4.364665,-46.60001,-52.990002,132.440002
461810,0.605406,19.47548,3.261534,-21.139999,-24.219999,46.970001
461884,1.344814,13.294997,2.598698,4.410000,-10.640000,-9.660000
461961,2.333085,11.641498,2.342657,19.40001,0.700000,-29.120001
462034,1.280206,11.876003,1.988507,9.310000,8.960000,-46.619999
462110,1.19379,13.213638,2.309156,13.510000,22.190001,-69.160004
462185,0.215362,12.840344,1.481210,3.360000,24.990000,-92.959999
462259,0.114860,11.864038,1.342421,19.530001,25.200001,-108.80002
462335,0.978699,9.631455,0.734623,28.280001,31.360001,-120.610001
462409,-1.873647,8.279462,0.320650,20.930000,33.880001,-116.480003
462484,-2.909776,5.338578,-1.349600,23.590000,32.759998,-104.930000
462558,-3.539111,3.299820,-1.433352,-3.80000,22.120001,-81.830002
462634,-4.402951,2.246941,-2.160796,1.610000,4.130000,-39.340000
462709,-4.642241,2.991135,-1.947827,0.140000,-5.600000,-1.190000
462783,-4.347914,4.577633,-1.122274,-19.389999,-7.770000,22.750000
462858,-3.608505,3.503217,0.562333,-29.49999,-14.770000,48.439999
462932,4.773852,-11.935825,-6.262240,-64.470001,-4.270000,24.500000
463008,7.987527,26.963289,3.357250,-64.260002,-2.30000,229.529999
463083,-4.237840,20.634047,10.662799,-69.580002,-112.279999,143.779999
463157,-3.405108,21.196381,2.14829,-17.570000,-30.100000,54.389999
463232,-2.357014,12.586697,2.627413,1.330000,0.350000,10.220000
463306,0.469010,10.966698,2.904990,9.170000,-1.820000,-8.400000
463382,0.617370,11.31306,1.694179,6.720000,0.840000,-17.500000
463456,-1.866468,13.373963,2.266084,26.950001,13.510000,-31.430000
463531,-2.414444,13.866902,2.869097,18.760000,10.290000,-62.860001
463606,-2.278049,13.783151,2.804488,35.279999,31.290001,-97.90004
463680,-2.335478,9.813316,0.33501,45.709999,36.400002,-122.220001
463756,-2.730308,7.944455,0.215362,45.849998,38.430000,-130.479996
463830,-3.773616,4.276127,-1.363958,28.840000,28.70000,-120.120003
463905,-4.606348,2.136867,-2.596305,21.629999,22.400000,-88.480003
463979,-5.226111,1.344814,-2.960027,7.980000,8.470000,-54.459999
464054,-5.326613,0.344579,-2.304370,11.130000,3.570000,-20.580000
464130,-5.180646,0.751373,-2.766202,4.970000,-3.150000,18.549999
464204,-4.39229,0.995450,-2.134474,-19.389999,-23.450001,47.950001
464279,2.318728,-5.738194,1.909541,-35.910000,-37.799999,91.209999
464353,15.53784,-15.687905,3.866940,-44.590000,-82.110001,364.209991
464428,3.74887,31.442812,2.553233,-148.750000,-74.129997,238.210007
464504,0.303899,27.200186,10.126787,-71.330002,-98.349998,108.290001
464578,0.201004,15.984626,3.701829,-29.49999,-36.259998,14.70000
464653,1.799467,12.498159,3.584576,8.400000,-5.740000,-11.900000
464727,1.629570,10.760908,3.785581,30.100000,13.580000,-20.860001
464802,0.952377,12.105722,1.856897,14.840000,8.540000,-39.60001
464877,0.727444,13.821437,2.866704,18.480000,26.950001,-59.150002
464952,0.136396,13.275854,3.266320,45.920002,29.820000,-82.949997
465027,0.904519,11.100700,0.591048,32.270000,24.150000,-110.389999
465101,0.409187,13.5455,2.285227,39.759998,46.480000,-156.520004
465176,-2.390515,7.523303,0.287149,31.430000,34.230000,-147.279999
465251,-3.378786,4.137338,-2.189511,23.730000,48.790001,-124.529999
465326,-3.709008,2.311549,-1.363958,21.770000,33.180000,-71.889999
465400,-4.541739,1.684607,-2.684843,13.20000,6.790000,-27.580000
465475,-4.970070,2.416837,-1.548212,1.750000,-4.900000,8.470000
465551,-5.72965,2.625020,-2.31579,-13.370000,-17.150000,40.599998
465625,-3.886083,3.17457,-1.9807,-32.60001,-23.30001,74.199997
465700,0.2393,0.318257,0.232112,-74.620003,-40.810001,128.660004
465774,6.518281,-1.541033,3.369215,-54.529999,-90.19997,339.500000
465849,8.490038,20.440222,1.107916,-49.349998,-69.370003,246.50003
465924,6.793466,19.73870,4.498667,-2.310000,-42.70000,158.339996
465999,4.812138,18.722113,2.620234,-2.170000,-5.950000,65.660004
466074,5.407972,14.309590,3.237605,-1.400000,-1.260000,3.710000
466148,4.797781,11.653462,1.670250,16.170000,10.360000,-39.970001
466223,4.103837,10.382828,2.26793,37.29999,7.840000,-63.209999
466298,3.945905,11.21734,1.756395,31.360001,10.220000,-82.809998
466373,3.86851,11.483566,1.148596,19.600000,23.870001,-111.230003
466448,2.81830,11.24128,1.31343,13.440001,28.630001,-126.489998
466522,0.86145,10.569475,0.717872,26.670000,32.759998,-131.180008
466597,-1.380708,11.981291,1.402244,41.860001,27.860001,-146.369995
466672,0.184254,14.15263,4.833674,12.110000,43.540001,-228.479996
466747,-4.812138,-11.639105,-8.860939,-1.960000,83.370003,-206.149994
466821,-1.608034,1.531461,-1.988507,32.270000,12.40000,-38.360001
466896,-5.855446,0.559941,-3.235212,9.240000,-10.430000,19.320000
466971,-6.659463,3.299820,-1.727680,-11.690000,-20.650000,41.720001
467046,-5.384043,3.259141,-2.81830,-23.940001,-27.790001,59.990002
467121,-3.436216,4.213911,-1.856897,-12.110000,-16.170000,92.680000
467195,-2.10043,2.684843,0.720265,-23.730000,-27.580000,110.669998
467270,5.582654,-8.616862,-1.64844,-63.279999,-40.250000,174.509995
467344,12.624983,22.311476,-2.483839,-13.300000,-90.440002,370.440002
467420,6.757573,26.144915,5.336185,13.90000,-9.800000,190.610001
467495,3.151460,15.898481,2.579555,-7.490000,-7.350000,28.980000
467569,4.340735,14.769029,1.995685,5.180000,-3.570000,-19.879999
467644,3.182568,9.882710,0.820767,14.280000,1.610000,-31.150000
467718,3.429037,10.775265,2.431195,7.490000,5.460000,-46.200001
467794,2.739880,10.801587,1.359172,-2.520000,3.990000,-57.119999
467869,2.680057,13.19813,2.81830,8.610000,11.690000,-72.169998
467943,1.864075,13.318927,1.751609,16.30001,29.610001,-102.620003
468018,1.215597,12.964776,1.292170,29.820000,36.750000,-129.80002
468092,0.294328,11.770715,0.524047,35.770000,43.259998,-157.149994
468168,1.481210,14.36798,5.343364,-4.410000,54.810001,-226.660004
468242,-4.584812,-7.784130,-6.283777,12.810000,7.700000,-119.0
468317,-3.476896,2.112938,0.167504,16.590000,19.740000,-62.230000
468392,-5.305077,1.988507,-2.203868,25.340000,5.810000,-12.460000
468467,-6.527853,3.632434,-2.488624,18.200001,-7.280000,19.530001
468542,-6.783895,3.426644,-1.572141,-3.570000,-18.270000,32.759998
468616,-6.94737,4.589598,-2.368979,-17.360001,-17.80000,42.0
468691,-3.309392,2.751844,-1.236,-25.270000,-27.20000,57.959999
468765,3.208890,-5.611370,0.727444,-36.610001,-36.750000,121.730003
468841,10.665192,8.336892,-3.395537,-72.239998,-136.570007,349.649994
468916,5.125609,25.544294,10.813552,-103.110001,-61.529999,228.759995
468990,1.560176,26.367455,4.115802,-44.99998,-9.800000,75.110001
469065,2.811667,21.454815,4.84694,-6.300000,29.960001,-46.689999
469139,4.431666,14.118157,5.99287,62.720001,52.290001,-150.220001
469215,4.510632,8.212461,4.584812,155.259995,112.0,-216.20004
469290,1.19379,2.301978,0.327828,138.460007,160.580002,-175.210007
469364,-1.856897,0.746587,-6.3807,165.270004,156.660004,-139.20004
469439,-2.7650,0.830339,-10.674763,183.750000,110.739998,-28.0
469513,-2.50722,3.764045,-10.95679,62.790001,44.310001,12.810000
469589,-1.600855,4.603955,-9.449594,7.910000,15.890000,9.450000
469663,-1.801860,2.960027,-8.628826,16.309999,11.200000,11.620000
469738,-1.694179,3.706615,-8.839402,0.210000,0.420000,5.180000
469813,-1.943041,4.34443,-8.650363,-1.120000,0.280000,10.430000
469887,-1.859290,3.675507,-8.703007,5.670000,2.30000,4.270000
469963,-1.864075,4.108623,-8.688649,1.120000,1.120000,2.590000
470037,-1.581712,4.434059,-8.841795,-3.640000,1.50000,3.850000
470112,-2.290013,4.278520,-8.485252,-16.100000,6.930000,15.120000
470187,-1.232348,6.465638,-8.822652,-10.290000,6.790000,-11.760000
470261,0.921270,4.840853,-9.667349,0.280000,-12.180000,-48.860001
470337,-1.538640,1.555390,-8.406286,-4.270000,-7.630000,-44.730000
470411,-2.273263,2.359407,-8.147852,-12.600000,-4.830000,-15.330000
470486,-2.392908,3.594148,-8.166995,1.120000,0.490000,5.810000
470560,-2.184725,3.728151,-9.172017,9.450000,-16.520000,49.279999
470635,-2.620234,4.460381,-7.784130,32.830002,-4.340000,57.610001
470711,-1.701358,5.273970,-8.523539,18.200001,-1.260000,27.790001
470785,-1.509925,4.446023,-8.310570,4.480000,-3.640000,7.210000
470860,-1.603248,3.426644,-7.920526,6.720000,0.140000,12.530000
470934,-1.725287,3.622863,-8.300998,-3.360000,18.129999,32.410000
471009,0.203397,6.724072,-11.878396,0.560000,-22.680000,-28.910000
475455,-5.999021,13.213638,0.581477,-80.919998,-157.289993,-18.480000
475531,-4.407737,11.232310,4.905462,-47.670002,-82.949997,-46.270000
475605,-5.51429,8.92815,0.547976,-9.30000,-2.730000,-81.760002
475680,-3.917191,4.424487,0.239291,-42.630001,8.610000,-55.510002
475756,-3.228033,4.864782,0.665228,-49.630001,-11.550000,-21.770000
475830,-5.32286,5.503689,0.291935,-57.820000,-10.920000,-8.680000
475905,-6.477602,5.463009,0.614977,-14.420000,-6.20000,-4.340000
475979,-6.379493,4.582419,0.325435,-7.210000,-12.110000,8.820000
476054,-5.577869,4.359879,0.701122,8.260000,-12.950000,34.860001
476129,-4.206732,5.295506,0.62216,31.570000,4.270000,47.880001
476204,-1.732466,4.288091,0.303899,31.710001,9.380000,51.520000
476279,0.325435,2.821239,0.110074,1.120000,-4.410000,79.940002
476353,5.419937,2.234976,1.914326,-38.570000,-28.350000,139.649994
476428,11.722857,4.228269,3.419466,-33.880001,-56.700001,245.350006
476503,23.926687,7.432373,6.980113,-74.830002,-106.610001,400.399994
476578,33.842899,7.635770,7.30364,-128.589996,-107.870003,435.959991
476652,31.983610,11.141380,11.196417,-65.29999,-53.830002,361.549988
476727,20.351683,5.178253,8.781973,-98.419998,-40.250000,245.699997
476802,9.461558,10.19106,2.641771,-145.880005,-24.430000,179.619995
476877,5.183039,7.815238,2.969599,-100.940002,-11.970000,65.800003
476952,5.123216,2.986349,0.866233,-22.540001,13.930000,-46.130001
477026,6.949005,0.490546,2.596305,54.670002,24.710001,-72.239998
477101,8.61707,2.60294,1.849718,33.950001,23.799999,-190.399994
477175,11.887967,11.76772,3.936334,105.629997,73.220001,-249.199997
477251,14.919782,13.36563,4.113409,90.370003,70.419998,-283.570007
477326,17.260046,18.576145,3.268713,95.410004,38.849998,-323.959991
477400,16.831715,18.66456,5.262005,25.480000,14.700000,-308.489990
477475,11.684570,14.639812,7.13614,3.640000,63.70000,-272.440002
477550,8.521146,13.180138,3.211283,44.660000,95.970001,-227.500000
477625,3.744901,6.451280,2.345050,27.650000,73.500000,-186.830002
477700,0.404401,2.419230,0.536011,32.900002,58.240002,-141.960007
477774,-2.926527,3.558254,-1.57665,38.150002,43.889999,-96.320000
477849,-3.907619,0.504904,-2.77044,-8.190000,7.770000,-87.989998
477924,-4.532168,0.921270,-2.565197,-7.700000,12.810000,-58.939999
477999,-3.539111,-1.983721,-3.161031,8.680000,13.90000,-8.540000
478073,-3.163424,0.406794,-1.746823,-11.410000,6.230000,43.330002
478148,-2.242155,0.837518,-1.227562,-17.780001,-4.60000,76.440002
478223,1.830575,0.220148,1.414209,-40.599998,-20.230000,121.800003
478298,12.986312,-1.234741,3.670721,-66.220001,-50.259998,217.279999
478373,37.142719,-5.262005,8.982977,-313.250000,-107.660004,391.160004
478447,78.401237,-3.807117,38.449245,4.270000,-516.250000,915.669983
478522,36.728745,4.60765,13.704185,-160.20004,-139.509995,507.10010
478596,18.820223,12.440729,13.369178,-216.89996,-59.500000,169.750000
478672,5.405580,13.417036,6.384279,-132.229996,0.630000,108.360001
478747,2.175153,5.266791,-1.146203,-37.240002,0.350000,-4.690000
478821,5.714264,2.857132,3.318964,34.20000,1.890000,-117.320000
478896,12.490980,6.915504,4.156481,117.809998,38.709999,-195.440002
478970,19.849173,9.404129,9.552489,122.290001,76.720001,-313.40009
479046,25.135107,12.469444,9.772636,81.480003,94.639999,-363.929993
479121,24.376554,17.343798,6.939434,37.939999,68.250000,-379.890015
479195,19.935318,13.859724,6.573318,47.389999,78.400002,-337.119995
479270,13.93993,9.107409,3.673114,57.820000,97.580002,-287.350006
479344,6.13378,5.396008,2.72258,65.940002,72.590004,-217.279999
479421,1.347207,1.275420,0.476189,55.230000,54.320000,-160.89996
479494,-2.311549,0.162718,0.638906,44.380001,37.99998,-111.370003
479570,-3.941120,0.318257,-1.933470,30.590000,20.160000,-60.410000
479645,-5.108859,1.95952,-2.761416,13.930000,9.240000,-27.440001
479719,-4.972463,1.277813,-2.100973,-6.370000,0.210000,-3.80000
479795,-5.180646,1.974149,-1.660678,-15.190001,1.540000,22.330000
479869,-3.105995,1.892790,-2.175153,-27.299999,-8.330000,36.820000
479944,0.875804,1.43308,-1.119881,3.80000,3.430000,91.209999
480018,7.669271,1.318492,0.638906,-29.120001,-6.230000,155.399994
480093,23.208817,-16.836502,8.332106,-374.10010,-47.180000,207.59998
480169,43.309242,70.798973,51.191483,-52.990002,-41.20000,472.360016
480243,19.16441,28.477999,4.201947,-125.370003,-167.649994,262.640015
480318,13.294997,17.961168,14.46371,-106.959999,-95.970001,192.9995
480392,6.743215,5.477366,7.463480,-88.760002,-52.290001,153.649994
480467,7.927704,5.711872,5.951162,-62.580002,-61.810001,72.449997
480543,7.425194,2.744666,0.268006,-22.260000,-30.450001,19.320000
480617,7.226583,4.12907,1.990900,6.580000,-8.610000,-23.730000
480692,7.298370,5.690335,1.945434,28.700001,-9.380000,-64.959999
480766,8.944691,9.109801,6.475209,64.190002,29.469999,-96.40001
480842,10.995413,13.299783,4.938962,72.660004,53.60001,-174.580002
480916,15.733371,16.293312,4.781030,85.959999,43.820000,-241.430008
480991,18.133457,16.659426,7.757808,100.940002,43.330002,-286.369995
481066,16.695320,14.199516,6.92344,34.509998,39.830002,-305.760010
481140,10.196181,9.435237,3.5492,21.490000,49.770000,-265.720001
481216,4.484310,3.302213,0.411580,38.779999,58.240002,-215.250000
481290,1.916719,0.689158,0.117252,6.720000,33.670002,-149.29999
481365,-1.878433,0.516868,-1.26558,-2.940000,29.889999,-84.559998
481439,-4.434059,1.268241,-1.203633,0.210000,26.40001,-34.790001
481514,-5.195004,2.720737,-2.184725,0.70000,16.170000,-1.400000
481590,-4.912640,2.778166,-1.31343,-20.90000,-9.450000,20.790001
481664,-3.776009,3.821474,-1.170132,-9.30000,-13.580000,49.279999
481739,0.691550,2.311549,0.796838,3.710000,-9.520000,65.800003
481813,8.346463,-1.26558,1.914326,-53.970001,-23.520000,110.739998
481888,38.195599,-47.379581,-1.703751,82.739998,-305.59998,543.479980
481964,55.180462,41.24017,29.901779,170.520004,-119.980003,624.49988
482038,26.568459,23.486393,6.695357,-109.129997,-104.860001,317.869995
482113,19.57119,8.674292,6.456066,-122.80002,-18.549999,228.759995
482187,13.730507,5.228504,2.924134,-92.610001,14.770000,259.839996
482262,8.844189,2.86616,2.72258,-55.580002,-10.920000,122.10002
482337,6.207203,-4.106230,0.732230,-52.639999,-57.959999,82.949997
482412,7.982741,1.531461,2.725522,-26.530001,-12.950000,-37.939999
482487,8.16242,-2.675271,2.687236,33.459999,-20.719999,-115.639999
482561,10.746551,-1.830575,3.527147,35.630001,1.190000,-153.860001
482636,15.156680,2.680057,3.838225,35.490002,32.480000,-229.180008
482711,17.932453,8.284247,3.132317,132.20004,55.580002,-346.920013
482786,18.729292,12.593875,4.910247,135.100006,61.459999,-402.149994
482860,16.27699,16.527817,5.424723,11.550000,-7.700000,-357.209991
482935,11.182059,15.44213,2.873883,16.730000,5.670000,-326.130005
483010,6.89951,13.898010,0.224933,62.510002,58.99998,-269.429993
483085,5.872197,8.669506,6.183275,31.10000,70.840004,-242.479996
483160,1.773145,-11.742000,-4.668564,2.800000,39.830002,-164.639999
483234,-2.234976,1.45701,1.43308,22.120001,26.110001,-59.920002
483309,-5.137574,0.165111,-2.610663,4.900000,14.350000,-21.629999
483384,-5.702300,0.464224,-3.582183,4.480000,16.379999,-2.170000
483459,-5.829124,2.189511,-3.541504,-10.430000,-7.70000,18.480000
483534,-4.891104,2.158403,-2.419230,-10.570000,-19.389999,46.480000
483608,-1.959792,1.229955,0.674800,-22.190001,-33.599998,86.379997
483683,1.576926,1.739644,0.801624,-18.410000,-26.320000,139.860001
483758,9.889889,0.394830,3.43779,-58.310001,-60.270000,214.970001
483833,26.377026,-43.232670,-17.477800,-408.660004,-191.800003,394.170013
483908,46.29980,63.368992,32.103256,327.670013,-221.759995,455.350006
483982,31.646210,21.758713,8.226818,164.779999,-122.430000,302.329987
484057,16.733606,6.889183,3.668328,-7.630000,-50.750000,142.100006
484132,9.322770,2.385729,2.361800,22.540001,-22.680000,51.170002
484207,8.777187,2.112938,0.617370,-8.820000,8.470000,25.200001
484281,8.588147,1.167739,-1.270634,-23.799999,12.250000,-27.230000
484356,9.313198,0.105288,1.773145,40.320000,-3.150000,-43.889999
484431,10.602976,1.701358,0.423545,21.210001,2.590000,-86.449997
484506,11.777894,1.818610,3.132317,65.730003,0.560000,-120.750000
484581,15.25070,4.960498,4.431666,83.300003,9.590000,-190.750000
484655,15.575438,7.425194,3.218461,90.90004,28.910000,-240.729996
484730,15.936768,10.696300,5.288327,125.860001,43.49999,-291.269989
484805,14.20048,11.883182,2.560412,234.500000,56.70000,-341.459991
484880,8.408679,5.84929,0.318257,208.250000,26.180000,-344.750000
484955,3.216069,0.382865,-1.349600,143.850006,35.349998,-251.369995
485029,0.404401,0.923663,-4.44014,139.229996,43.610001,-130.339996
485104,-1.737251,0.512082,-5.513260,104.440002,42.279999,-55.790001
485178,-2.857132,0.543190,-6.453673,53.270000,43.49999,-17.150000
485254,-2.404873,2.86616,-8.872903,34.90000,45.500000,3.430000
485329,-2.924134,1.993292,-9.538132,18.340000,5.110000,-5.670000
485403,-3.311785,1.253884,-8.762830,3.990000,0.560000,2.170000
485478,-3.91637,1.435745,-8.803509,6.160000,0.0,0.560000
485552,-2.653735,1.969363,-9.607526,-3.990000,-9.800000,-4.480000
485628,-2.749451,1.600855,-8.872903,2.660000,-1.680000,1.260000
485702,-3.259141,0.882983,-7.982741,5.250000,14.210000,10.360000
485777,-2.383337,1.375922,-9.830067,1.120000,17.850000,21.910000
485852,0.222540,5.458223,-15.15498,68.180000,-25.690001,3.80000
485926,-3.12671,0.385258,-7.482624,4.480000,-76.440002,-21.280001
486002,-4.350307,0.658050,-5.853053,-34.580002,-30.799999,-8.50000
486076,-4.723600,0.607799,-8.49743,-22.820000,3.80000,9.170000
486151,-4.625491,2.481446,-9.404129,-9.660000,13.370000,18.480000
486226,-3.931548,2.440766,-9.650599,-2.660000,-2.310000,0.700000
486301,-3.546290,1.351993,-8.631220,1.890000,2.310000,-2.590000
486376,-2.981564,1.871254,-9.289269,-10.80000,11.200000,6.230000
486450,-2.531697,2.366586,-9.329948,-3.430000,7.770000,1.610000
486525,-2.586734,2.182332,-9.210303,0.140000,1.610000,1.50000
486599,-2.945670,1.225169,-8.490038,0.630000,0.490000,14.0
486675,-2.189511,3.534325,-10.595797,29.610001,26.740000,17.219999
